  [1 ] [6 -1.000-B] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.687926459370 | Improvement: +0.000000000000
  [2 ] [6 -0.500-B] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.692765091188 | Improvement: +0.000000000000
  [3 ] [16-1.000-B] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.700352095682 | Improvement: +0.000000000000
  [4 ] [12-1.000-A] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.703322334311 | Improvement: +0.000000000000
  [5 ] [12-1.000-B] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.704836099945 | Improvement: +0.000000000000
  [6 ] [16-1.000-A] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.708626794633 | Improvement: +0.000000000000
  [7 ] [12-0.500-A] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.711833693535 | Improvement: +0.000000000000
  [8 ] [12-0.500-B] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.712043504778 | Improvement: +0.000000000000
  [9 ] [6 -0.500-A] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.718813614413 | Improvement: +0.000000000000
  [10] [6 -1.000-A] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.724600904823 | Improvement: +0.000000000000
  [11] [12-0.100-B] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.726789348490 | Improvement: +0.000000000000
  [12] [6 -0.100-A] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.727498682339 | Improvement: +0.000000000000
  [13] [12-0.100-A] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.728347174916 | Improvement: +0.000000000000
  [14] [18-0.050-B] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.740363684512 | Improvement: +0.000000000000
  [15] [6 -0.100-B] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.744368434214 | Improvement: +0.000000000000
  [16] [12-0.050-A] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.750679321965 | Improvement: +0.000000000000
  [17] [18-0.100-A] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.755202164160 | Improvement: +0.000000000000
  [18] [12-0.050-B] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.762452050925 | Improvement: +0.000000000000
  [19] [12-0.010-A] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.782224207483 | Improvement: +0.000000000000
  [20] [16-0.050-A] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.785174422867 | Improvement: +0.000000000000
  [21] [16-0.010-A] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.795090345884 | Improvement: +0.000000000000
  [22] [6 -0.050-A] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.820397899960 | Improvement: +0.000000000000
  [23] [12-0.010-B] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.851036531536 | Improvement: +0.000000000000
  [24] [6 -0.050-B] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.854795475152 | Improvement: +0.000000000000
  [25] [18-0.010-A] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.861551346514 | Improvement: +0.000000000000
  [26] [6 -0.010-A] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.868782671778 | Improvement: +0.000000000000
  [27] [18-0.010-B] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.906442804279 | Improvement: +0.000000000000
  [28] [6 -0.010-B] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.955109400105 | Improvement: +0.000000000000
  [29] [16-0.010-B] [QUEUED]    | Waiting to start...
  [30] [16-0.050-B] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.733896297937 | Improvement: +0.000000000000
  [31] [16-0.100-A] [QUEUED]    | Waiting to start...
  [32] [16-0.100-B] [RUNNING]   | Epoch: 1      (  0%) | Error: 0.730246906833 | Improvement: +0.000000000000
  [33] [16-0.500-A] [QUEUED]    | Waiting to start...
  [34] [16-0.500-B] [QUEUED]    | Waiting to start...
  [35] [18-0.050-A] [QUEUED]    | Waiting to start...
  [36] [18-0.100-B] [QUEUED]    | Waiting to start...
  [37] [18-0.500-A] [QUEUED]    | Waiting to start...
  [38] [18-0.500-B] [QUEUED]    | Waiting to start...
  [39] [18-1.000-A] [QUEUED]    | Waiting to start...
  [40] [18-1.000-B] [QUEUED]    | Waiting to start...
  [41] [20-0.010-A] [QUEUED]    | Waiting to start...
  [42] [20-0.010-B] [QUEUED]    | Waiting to start...
  [43] [20-0.050-A] [QUEUED]    | Waiting to start...
  [44] [20-0.050-B] [QUEUED]    | Waiting to start...
  [45] [20-0.100-A] [QUEUED]    | Waiting to start...
  [46] [20-0.100-B] [QUEUED]    | Waiting to start...
  [47] [20-0.500-A] [QUEUED]    | Waiting to start...
  [48] [20-0.500-B] [QUEUED]    | Waiting to start...
  [49] [20-1.000-A] [QUEUED]    | Waiting to start...
  [50] [20-1.000-B] [QUEUED]    | Waiting to start...
  [51] [24-0.010-A] [QUEUED]    | Waiting to start...
  [52] [24-0.010-B] [QUEUED]    | Waiting to start...
  [53] [24-0.050-A] [QUEUED]    | Waiting to start...
  [54] [24-0.050-B] [QUEUED]    | Waiting to start...
  [55] [24-0.100-A] [QUEUED]    | Waiting to start...
  [56] [24-0.100-B] [QUEUED]    | Waiting to start...
  [57] [24-0.500-A] [QUEUED]    | Waiting to start...
  [58] [24-0.500-B] [QUEUED]    | Waiting to start...
  [59] [24-1.000-A] [QUEUED]    | Waiting to start...
  [60] [24-1.000-B] [QUEUED]    | Waiting to start...
  [61] [32-0.010-A] [QUEUED]    | Waiting to start...
  [62] [32-0.010-B] [QUEUED]    | Waiting to start...
  [63] [32-0.050-A] [QUEUED]    | Waiting to start...
  [64] [32-0.050-B] [QUEUED]    | Waiting to start...
  [65] [32-0.100-A] [QUEUED]    | Waiting to start...
  [66] [32-0.100-B] [QUEUED]    | Waiting to start...
  [67] [32-0.500-A] [QUEUED]    | Waiting to start...
  [68] [32-0.500-B] [QUEUED]    | Waiting to start...
  [69] [32-1.000-A] [QUEUED]    | Waiting to start...
  [70] [32-1.000-B] [QUEUED]    | Waiting to start...
  [71] [48-0.010-A] [QUEUED]    | Waiting to start...
  [72] [48-0.010-B] [QUEUED]    | Waiting to start...
  [73] [48-0.050-A] [QUEUED]    | Waiting to start...
  [74] [48-0.050-B] [QUEUED]    | Waiting to start...
  [75] [48-0.100-A] [QUEUED]    | Waiting to start...
  [76] [48-0.100-B] [QUEUED]    | Waiting to start...
  [77] [48-0.500-A] [QUEUED]    | Waiting to start...
  [78] [48-0.500-B] [QUEUED]    | Waiting to start...
  [79] [48-1.000-A] [QUEUED]    | Waiting to start...
  [80] [48-1.000-B] [QUEUED]    | Waiting to start...
